latitude;longitude;altitude(feet);ascent(feet);speed(mph);distance(feet);max_altitude(feet);max_ascent(feet);max_speed(mph);max_distance(feet);time(millisecond);datetime(utc);datetime(local);satellites;pressure(Pa);temperature(F);voltage(v);home_latitude;home_longitude;velocityX(mph);velocityY(mph);velocityZ(mph);pitch(deg);roll(deg);yaw(deg);powerlevel;isflying;istakingphoto;remainPowerPercent;remainLifePercent;currentCurrent;currentElectricity;currentVoltage;batteryTemperature;dischargeCount;flightmode;isMotorsOn;isTakingVideo;Rc_elevator;Rc_aileron;Rc_throttle;Rc_rudder;Rc_gyro;timestamp;Battery_Cell1;Battery_Cell2;Battery_Cell3;Battery_Cell4;Battery_Cell5;Battery_Cell6;Dronetype;AppVersion;Planename;FlyControllerSerialNumber;RemoteSerialNumber;BatterySerialNumber;CENTER_BATTERY.productDate;CENTER_BATTERY.serialNo;CENTER_BATTERY.fullCapacity;CENTER_BATTERY.productDateRaw;pitchRaw;rollRaw;yawRaw;gimbalPitchRaw;gimbalRollRaw;gimbalYawRaw;flyState;altitudeRaw;speedRaw;distanceRaw;velocityXRaw;velocityYRaw;velocityZRaw;data_reuse;App_Tip;App_Warning;downlinkSignalQuality;uplinkSignalQuality;transmissionChannel;rcModeSwitch;rcHome;rcPause;rcTransform;rcJoystickMode;appMode;FlyControllerSerialNumber_legacy;RemoteSerialNumber_legacy;BatterySerialNumber_legacy;Battery2SerialNumber
88.909628;139.981107;151;151;ьр№.33;508;151;151;рту.71;512;71838;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.830000;88.909079;139.979043;01.фхъ;-0.22;-3.13;0;2;-139;0;1;0;87;77;-16175;2540;21830;2976.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-9;22;-1398;0;0;0;14;462;14.90;1549.17;5;-1;-13;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981105;152;152;ьр№.99;507;152;152;рту.71;512;71888;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.830000;88.909079;139.979043;01.фхъ;-0.45;-3.80;1;1;-139;0;1;0;87;77;-16175;2540;21830;2976.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-11;18;-1395;0;0;0;14;465;17.83;1548.09;5;-2;-17;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981103;153;153;ря№.20;507;153;153;рту.71;512;71997;2021-09-28 00:37:05.095;2021-09-28 08:37:05.096;17;0;0.00;21.830000;88.909079;139.979043;01.фхъ;-0.45;-4.03;1;1;-139;0;1;0;87;77;-16175;2540;21830;2976.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-13;13;-1390;0;0;0;14;467;18.79;1546.96;5;-2;-17;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981102;153;153;ря№.69;507;153;153;рту.71;512;72097;28.09.2021 0:37;28.09.2021 8:37;17;0;0.00;21.830000;88.909079;139.979043;џэт.34;-0.45;-4.47;1;1;-138;0;1;0;87;77;-16175;2540;21830;2976.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-15;11;-1384;0;0;0;14;469;20.98;1545.77;6;-2;-20;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981100;154;154;ьрщ.14;506;154;154;рту.71;512;72199;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.67;-4.92;1;0;-137;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-15;5;-1375;0;0;0;14;470;23.00;1544.58;6;-3;-22;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981098;155;155;ьрщ.57;506;155;155;рту.71;512;72308;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.67;-5.37;1;0;-136;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-18;-2;-1369;0;0;0;14;474;24.92;1543.43;6;-3;-24;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981096;156;156;06.џэт;505;156;156;рту.71;512;72408;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.67;-5.82;2;-1;-136;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-22;-11;-1361;0;0;0;14;475;26.85;1542.28;6;-3;-25;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981094;157;157;06.џэт;505;157;157;рту.71;512;72520;28.09.2021 0:37;28.09.2021 8:37;18;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.67;-5.82;2;-1;-135;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-28;-18;-1355;0;0;0;14;479;26.85;1541.14;6;-3;-25;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909628;139.981092;158;158;шўэ.20;505;158;158;рту.71;512;72811;28.09.2021 0:37;28.09.2021 8:37;17;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.22;-6.04;3;-2;-135;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-32;-20;-1350;0;0;0;14;482;27.73;1540.04;6;-1;-27;0;;;100;100;12;0;0;0;0;2;1;;;;
88.909629;139.981087;161;161;шўэ.19;504;161;161;рту.71;512;72857;28.09.2021 0:37;28.09.2021 8:37;17;0;0.00;21.924999;88.909079;139.979043;џэт.34;-0.22;-6.04;2;-2;-134;0;1;0;87;77;-15284;2540;21925;2978.00;93;NAVI;1;0;0;0;0;0;0;1,63279E+12;3616;3665;3630;3629;3699;3640;6;;;;;;;0;0;0;-27;-21;-1340;0;0;0;14;490;27.68;1537.17;6;-1;-27;0;;;100;100;12;0;0;0;0;2;1;;;;
